,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.7893115942028984
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8391128220611916
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.7254360235948123
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.6483744193394829
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.6411951746510569
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.6833333333333333
6,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,f1 score,0.7893115942028984
7,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,geometric mean score,0.8391128220611916
8,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,precision score,0.7254360235948123
9,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,recall score,0.6483744193394829
10,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,roc auc score,0.6411951746510569
11,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,specificity score,0.6833333333333333
12,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,f1 score,0.7893115942028984
13,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,geometric mean score,0.8391128220611916
14,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,precision score,0.7254360235948123
15,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,recall score,0.6483744193394829
16,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,roc auc score,0.6411951746510569
17,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,specificity score,0.6833333333333333
18,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,f1 score,0.7893115942028984
19,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,geometric mean score,0.8391128220611916
20,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,precision score,0.7254360235948123
21,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,recall score,0.6483744193394829
22,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,roc auc score,0.6411951746510569
23,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,specificity score,0.6833333333333333
24,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.8065217391304348
25,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.841550925925926
26,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.7165761467208939
27,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.6379811448666889
28,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,roc auc score,0.6515615212674035
29,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.6555555555555556
30,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,f1 score,0.8206521739130436
31,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,geometric mean score,0.8419962761674717
32,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,precision score,0.7231578177500902
33,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,recall score,0.6455500725416758
34,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,roc auc score,0.6672960481784012
35,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,specificity score,0.6527777777777778
36,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,f1 score,0.8176932367149758
37,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,geometric mean score,0.836365237520129
38,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,precision score,0.7126030815916031
