,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.03217899673157612
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.03371314806286755
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.06263428826572986
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.07884636067694263
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.07754309764959078
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.0981656168940635
6,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,f1 score,0.03217899673157612
7,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,geometric mean score,0.03371314806286755
8,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,precision score,0.06263428826572986
9,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,recall score,0.07884636067694263
10,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,roc auc score,0.07754309764959078
11,breast_tissue,GradientBoostingClassifier,KMeansSMOTE10,specificity score,0.0981656168940635
12,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,f1 score,0.03217899673157612
13,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,geometric mean score,0.03371314806286755
14,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,precision score,0.06263428826572986
15,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,recall score,0.07884636067694263
16,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,roc auc score,0.07754309764959078
17,breast_tissue,GradientBoostingClassifier,KMeansSMOTE11,specificity score,0.0981656168940635
18,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,f1 score,0.03217899673157612
19,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,geometric mean score,0.03371314806286755
20,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,precision score,0.06263428826572986
21,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,recall score,0.07884636067694263
22,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,roc auc score,0.07754309764959078
23,breast_tissue,GradientBoostingClassifier,KMeansSMOTE12,specificity score,0.0981656168940635
24,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.038893139464247314
25,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.03321110364098704
26,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.058210615518078095
27,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.0729692440461304
28,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,roc auc score,0.06924789935433594
29,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.09277759296203959
30,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,f1 score,0.04261515068871021
31,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,geometric mean score,0.04100456556037137
32,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,precision score,0.04826953325830046
33,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,recall score,0.060132431789429716
