,Dataset,Classifier,Oversampling method,Metric,Std CV score
69,eucalyptus,LogisticRegression,SMOTE2,f1 score,0.015548518460128538
70,eucalyptus,LogisticRegression,SMOTE2,geometric mean score,0.00564483101809163
71,eucalyptus,LogisticRegression,SMOTE2,roc auc score,0.009202620025226453
72,glass,LogisticRegression,KMeansSMOTE,f1 score,0.03127270837835071
73,glass,LogisticRegression,KMeansSMOTE,geometric mean score,0.01093125962125111
74,glass,LogisticRegression,KMeansSMOTE,roc auc score,0.023341893008632087
75,glass,LogisticRegression,KMeansSMOTE2,f1 score,0.04139832904268715
76,glass,LogisticRegression,KMeansSMOTE2,geometric mean score,0.012225076209671936
77,glass,LogisticRegression,KMeansSMOTE2,roc auc score,0.02950039775582276
78,glass,LogisticRegression,KMeansSMOTE3,f1 score,0.032897049954726094
79,glass,LogisticRegression,KMeansSMOTE3,geometric mean score,0.00945434964440206
80,glass,LogisticRegression,KMeansSMOTE3,roc auc score,0.02957502185700552
81,glass,LogisticRegression,KMeansSMOTE4,f1 score,0.03672489554897412
82,glass,LogisticRegression,KMeansSMOTE4,geometric mean score,0.007368096578078036
83,glass,LogisticRegression,KMeansSMOTE4,roc auc score,0.04201484513388269
84,glass,LogisticRegression,None,f1 score,0.02447724213733858
85,glass,LogisticRegression,None,geometric mean score,0.005400173878126692
86,glass,LogisticRegression,None,roc auc score,0.0327322296651838
87,glass,LogisticRegression,RandomOverSampler,f1 score,0.017827024850949384
88,glass,LogisticRegression,RandomOverSampler,geometric mean score,0.010006132789866421
89,glass,LogisticRegression,RandomOverSampler,roc auc score,0.009323601866532878
90,glass,LogisticRegression,SMOTE,f1 score,0.013264082696532974
91,glass,LogisticRegression,SMOTE,geometric mean score,0.004348997586688185
92,glass,LogisticRegression,SMOTE,roc auc score,0.019887063715543628
93,glass,LogisticRegression,SMOTE2,f1 score,0.014511365922911437
94,glass,LogisticRegression,SMOTE2,geometric mean score,0.012134439351632753
95,glass,LogisticRegression,SMOTE2,roc auc score,0.016397067355028234
96,haberman,LogisticRegression,KMeansSMOTE,f1 score,0.06734604886720093
97,haberman,LogisticRegression,KMeansSMOTE,geometric mean score,0.022943665242902783
98,haberman,LogisticRegression,KMeansSMOTE,roc auc score,0.0422919334727953
99,haberman,LogisticRegression,KMeansSMOTE2,f1 score,0.025541795040843297
100,haberman,LogisticRegression,KMeansSMOTE2,geometric mean score,0.03656221983168111
101,haberman,LogisticRegression,KMeansSMOTE2,roc auc score,0.044145896301911396
102,haberman,LogisticRegression,KMeansSMOTE3,f1 score,0.040620300067667134
103,haberman,LogisticRegression,KMeansSMOTE3,geometric mean score,0.03335321371400086
104,haberman,LogisticRegression,KMeansSMOTE3,roc auc score,0.01717044227789226
105,haberman,LogisticRegression,KMeansSMOTE4,f1 score,0.03686509109705166
106,haberman,LogisticRegression,KMeansSMOTE4,geometric mean score,0.02492203781217511
107,haberman,LogisticRegression,KMeansSMOTE4,roc auc score,0.026025451591581313
108,haberman,LogisticRegression,None,f1 score,0.015696484674989936
109,haberman,LogisticRegression,None,geometric mean score,0.006152779476542706
110,haberman,LogisticRegression,None,roc auc score,0.02200648657743259
111,haberman,LogisticRegression,RandomOverSampler,f1 score,0.01981803819684644
112,haberman,LogisticRegression,RandomOverSampler,geometric mean score,0.02155194319068628
113,haberman,LogisticRegression,RandomOverSampler,roc auc score,0.022940195452693105
114,haberman,LogisticRegression,SMOTE,f1 score,0.012211939472523557
115,haberman,LogisticRegression,SMOTE,geometric mean score,0.008277142375037825
116,haberman,LogisticRegression,SMOTE,roc auc score,0.020912008768365537
117,haberman,LogisticRegression,SMOTE2,f1 score,0.013651335942840907
118,haberman,LogisticRegression,SMOTE2,geometric mean score,0.007917336131404058
119,haberman,LogisticRegression,SMOTE2,roc auc score,0.028104776606115652
120,heart,LogisticRegression,KMeansSMOTE,f1 score,0.009190324029079298
121,heart,LogisticRegression,KMeansSMOTE,geometric mean score,0.008039639448951426
122,heart,LogisticRegression,KMeansSMOTE,roc auc score,0.008847433654301485
123,heart,LogisticRegression,KMeansSMOTE2,f1 score,0.012536480432519584
124,heart,LogisticRegression,KMeansSMOTE2,geometric mean score,0.008581292457836034
125,heart,LogisticRegression,KMeansSMOTE2,roc auc score,0.01346815039823668
126,heart,LogisticRegression,KMeansSMOTE3,f1 score,0.016474963807936883
127,heart,LogisticRegression,KMeansSMOTE3,geometric mean score,0.007316141464318922
128,heart,LogisticRegression,KMeansSMOTE3,roc auc score,0.010558025791247254
129,heart,LogisticRegression,KMeansSMOTE4,f1 score,0.024350102562362266
130,heart,LogisticRegression,KMeansSMOTE4,geometric mean score,0.007780257541200513
131,heart,LogisticRegression,KMeansSMOTE4,roc auc score,0.0053355981176674405
132,heart,LogisticRegression,None,f1 score,0.011869132465877084
