,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.7040952529404093
1,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.8929549114331723
2,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.7900155316644926
3,breast_tissue,LogisticRegression,KMeansSMOTE2,f1 score,0.7061964337326656
4,breast_tissue,LogisticRegression,KMeansSMOTE2,geometric mean score,0.897926731078905
5,breast_tissue,LogisticRegression,KMeansSMOTE2,roc auc score,0.794661229943215
6,breast_tissue,LogisticRegression,KMeansSMOTE3,f1 score,0.7012862502108642
7,breast_tissue,LogisticRegression,KMeansSMOTE3,geometric mean score,0.8860406602254429
8,breast_tissue,LogisticRegression,KMeansSMOTE3,roc auc score,0.781995850884529
9,breast_tissue,LogisticRegression,KMeansSMOTE4,f1 score,0.7172377186919915
10,breast_tissue,LogisticRegression,KMeansSMOTE4,geometric mean score,0.8975996376811594
11,breast_tissue,LogisticRegression,KMeansSMOTE4,roc auc score,0.7656053201846231
12,breast_tissue,LogisticRegression,None,f1 score,0.6793467402793916
13,breast_tissue,LogisticRegression,None,geometric mean score,0.897644927536232
14,breast_tissue,LogisticRegression,None,roc auc score,0.7578141994349009
15,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.7143772115788527
16,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.894363929146538
17,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.7888092745955206
18,breast_tissue,LogisticRegression,SMOTE,f1 score,0.7222599510730445
19,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.8921849838969405
20,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.7962473204642964
21,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.7385523542480065
22,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.8946557971014493
23,breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.7950840870365294
24,ecoli,LogisticRegression,KMeansSMOTE,f1 score,0.7086521040617455
25,ecoli,LogisticRegression,KMeansSMOTE,geometric mean score,0.9341432394781976
26,ecoli,LogisticRegression,KMeansSMOTE,roc auc score,0.8799994667728411
27,ecoli,LogisticRegression,KMeansSMOTE2,f1 score,0.7178753120538995
28,ecoli,LogisticRegression,KMeansSMOTE2,geometric mean score,0.9332163498720378
29,ecoli,LogisticRegression,KMeansSMOTE2,roc auc score,0.8850012160832543
30,ecoli,LogisticRegression,KMeansSMOTE3,f1 score,0.7064592578388172
31,ecoli,LogisticRegression,KMeansSMOTE3,geometric mean score,0.9341838848267937
32,ecoli,LogisticRegression,KMeansSMOTE3,roc auc score,0.884980543653111
33,ecoli,LogisticRegression,KMeansSMOTE4,f1 score,0.6921599978119125
34,ecoli,LogisticRegression,KMeansSMOTE4,geometric mean score,0.9336586181069416
35,ecoli,LogisticRegression,KMeansSMOTE4,roc auc score,0.882062123513666
36,ecoli,LogisticRegression,None,f1 score,0.23889610939954187
37,ecoli,LogisticRegression,None,geometric mean score,0.9341917650474398
38,ecoli,LogisticRegression,None,roc auc score,0.3669677403729035
39,ecoli,LogisticRegression,RandomOverSampler,f1 score,0.709941448856527
40,ecoli,LogisticRegression,RandomOverSampler,geometric mean score,0.9338962933686601
41,ecoli,LogisticRegression,RandomOverSampler,roc auc score,0.8937320415293117
42,ecoli,LogisticRegression,SMOTE,f1 score,0.7109620889811789
43,ecoli,LogisticRegression,SMOTE,geometric mean score,0.934999499862157
44,ecoli,LogisticRegression,SMOTE,roc auc score,0.8921646247928905
45,ecoli,LogisticRegression,SMOTE2,f1 score,0.6812850882930142
46,ecoli,LogisticRegression,SMOTE2,geometric mean score,0.9295053514749189
47,ecoli,LogisticRegression,SMOTE2,roc auc score,0.8836610914963507
48,eucalyptus,LogisticRegression,KMeansSMOTE,f1 score,0.4872427370125901
49,eucalyptus,LogisticRegression,KMeansSMOTE,geometric mean score,0.845412046517019
50,eucalyptus,LogisticRegression,KMeansSMOTE,roc auc score,0.6528153735247165
51,eucalyptus,LogisticRegression,KMeansSMOTE2,f1 score,0.4990753251835803
52,eucalyptus,LogisticRegression,KMeansSMOTE2,geometric mean score,0.8463844071060922
53,eucalyptus,LogisticRegression,KMeansSMOTE2,roc auc score,0.7032513726729792
54,eucalyptus,LogisticRegression,KMeansSMOTE3,f1 score,0.48436778822827475
55,eucalyptus,LogisticRegression,KMeansSMOTE3,geometric mean score,0.8389457802786533
56,eucalyptus,LogisticRegression,KMeansSMOTE3,roc auc score,0.7296200106234253
57,eucalyptus,LogisticRegression,KMeansSMOTE4,f1 score,0.5130274394773064
58,eucalyptus,LogisticRegression,KMeansSMOTE4,geometric mean score,0.8514584575185402
59,eucalyptus,LogisticRegression,KMeansSMOTE4,roc auc score,0.694216715128644
60,eucalyptus,LogisticRegression,None,f1 score,0.2974057376933969
61,eucalyptus,LogisticRegression,None,geometric mean score,0.8632023305883804
62,eucalyptus,LogisticRegression,None,roc auc score,0.4281168468357528
63,eucalyptus,LogisticRegression,RandomOverSampler,f1 score,0.5296219083986603
64,eucalyptus,LogisticRegression,RandomOverSampler,geometric mean score,0.890186183521819
65,eucalyptus,LogisticRegression,RandomOverSampler,roc auc score,0.7908261524470639
66,eucalyptus,LogisticRegression,SMOTE,f1 score,0.5210559041688045
67,eucalyptus,LogisticRegression,SMOTE,geometric mean score,0.8858154544963938
68,eucalyptus,LogisticRegression,SMOTE,roc auc score,0.790773519936794
69,eucalyptus,LogisticRegression,SMOTE2,f1 score,0.541365911137177
70,eucalyptus,LogisticRegression,SMOTE2,geometric mean score,0.8896511656698121
71,eucalyptus,LogisticRegression,SMOTE2,roc auc score,0.7870413831318334
72,glass,LogisticRegression,KMeansSMOTE,f1 score,0.6312308967151263
73,glass,LogisticRegression,KMeansSMOTE,geometric mean score,0.8145770430756845
74,glass,LogisticRegression,KMeansSMOTE,roc auc score,0.7151251948770062
75,glass,LogisticRegression,KMeansSMOTE2,f1 score,0.6293063906294413
76,glass,LogisticRegression,KMeansSMOTE2,geometric mean score,0.812849738325282
77,glass,LogisticRegression,KMeansSMOTE2,roc auc score,0.7081733596354486
78,glass,LogisticRegression,KMeansSMOTE3,f1 score,0.6593452528072283
79,glass,LogisticRegression,KMeansSMOTE3,geometric mean score,0.8149506843800323
80,glass,LogisticRegression,KMeansSMOTE3,roc auc score,0.718851572782202
81,glass,LogisticRegression,KMeansSMOTE4,f1 score,0.6254847702419767
82,glass,LogisticRegression,KMeansSMOTE4,geometric mean score,0.8212535225442833
83,glass,LogisticRegression,KMeansSMOTE4,roc auc score,0.6941363359870171
84,glass,LogisticRegression,None,f1 score,0.5153217062344828
85,glass,LogisticRegression,None,geometric mean score,0.8155256139291465
86,glass,LogisticRegression,None,roc auc score,0.6127238640026496
87,glass,LogisticRegression,RandomOverSampler,f1 score,0.6480735453784673
88,glass,LogisticRegression,RandomOverSampler,geometric mean score,0.8168541163446055
89,glass,LogisticRegression,RandomOverSampler,roc auc score,0.7300755458164403
90,glass,LogisticRegression,SMOTE,f1 score,0.6575844432030684
91,glass,LogisticRegression,SMOTE,geometric mean score,0.8176806561996779
92,glass,LogisticRegression,SMOTE,roc auc score,0.7386003224747012
93,glass,LogisticRegression,SMOTE2,f1 score,0.6381194641320587
94,glass,LogisticRegression,SMOTE2,geometric mean score,0.8127151268115942
95,glass,LogisticRegression,SMOTE2,roc auc score,0.7141097282342816
96,haberman,LogisticRegression,KMeansSMOTE,f1 score,0.35991818904839273
97,haberman,LogisticRegression,KMeansSMOTE,geometric mean score,0.6836213991769549
98,haberman,LogisticRegression,KMeansSMOTE,roc auc score,0.49772970378453396
99,haberman,LogisticRegression,KMeansSMOTE2,f1 score,0.44884154071638277
100,haberman,LogisticRegression,KMeansSMOTE2,geometric mean score,0.6450699588477365
101,haberman,LogisticRegression,KMeansSMOTE2,roc auc score,0.6025670048938923
102,haberman,LogisticRegression,KMeansSMOTE3,f1 score,0.46070730496619666
103,haberman,LogisticRegression,KMeansSMOTE3,geometric mean score,0.6807736625514403
104,haberman,LogisticRegression,KMeansSMOTE3,roc auc score,0.6094199352557194
105,haberman,LogisticRegression,KMeansSMOTE4,f1 score,0.4489337763948337
106,haberman,LogisticRegression,KMeansSMOTE4,geometric mean score,0.6773004115226338
107,haberman,LogisticRegression,KMeansSMOTE4,roc auc score,0.6201168457795767
108,haberman,LogisticRegression,None,f1 score,0.24831030617466837
109,haberman,LogisticRegression,None,geometric mean score,0.6834156378600823
110,haberman,LogisticRegression,None,roc auc score,0.36456002684945005
111,haberman,LogisticRegression,RandomOverSampler,f1 score,0.49586119235962595
112,haberman,LogisticRegression,RandomOverSampler,geometric mean score,0.6899423868312757
113,haberman,LogisticRegression,RandomOverSampler,roc auc score,0.624206453917934
114,haberman,LogisticRegression,SMOTE,f1 score,0.49442938177644347
115,haberman,LogisticRegression,SMOTE,geometric mean score,0.6896296296296296
116,haberman,LogisticRegression,SMOTE,roc auc score,0.6173835253928815
117,haberman,LogisticRegression,SMOTE2,f1 score,0.484572285135518
118,haberman,LogisticRegression,SMOTE2,geometric mean score,0.6829958847736624
119,haberman,LogisticRegression,SMOTE2,roc auc score,0.6322542037813536
120,heart,LogisticRegression,KMeansSMOTE,f1 score,0.8199859872772336
121,heart,LogisticRegression,KMeansSMOTE,geometric mean score,0.8928333333333335
122,heart,LogisticRegression,KMeansSMOTE,roc auc score,0.8311128359231741
123,heart,LogisticRegression,KMeansSMOTE2,f1 score,0.8130331851533213
124,heart,LogisticRegression,KMeansSMOTE2,geometric mean score,0.8935166666666665
125,heart,LogisticRegression,KMeansSMOTE2,roc auc score,0.8363760794076132
126,heart,LogisticRegression,KMeansSMOTE3,f1 score,0.8157342377438062
127,heart,LogisticRegression,KMeansSMOTE3,geometric mean score,0.8959000000000001
128,heart,LogisticRegression,KMeansSMOTE3,roc auc score,0.8292015878984713
129,heart,LogisticRegression,KMeansSMOTE4,f1 score,0.8058743145406714
130,heart,LogisticRegression,KMeansSMOTE4,geometric mean score,0.9009166666666667
131,heart,LogisticRegression,KMeansSMOTE4,roc auc score,0.8380279285065779
132,heart,LogisticRegression,None,f1 score,0.8069207036427839
133,heart,LogisticRegression,None,geometric mean score,0.8949333333333334
134,heart,LogisticRegression,None,roc auc score,0.8319734962419949
135,heart,LogisticRegression,RandomOverSampler,f1 score,0.811184654118717
136,heart,LogisticRegression,RandomOverSampler,geometric mean score,0.8940333333333335
137,heart,LogisticRegression,RandomOverSampler,roc auc score,0.8259592778746769
138,heart,LogisticRegression,SMOTE,f1 score,0.8124874611723832
139,heart,LogisticRegression,SMOTE,geometric mean score,0.8920833333333335
140,heart,LogisticRegression,SMOTE,roc auc score,0.8294000650203175
141,heart,LogisticRegression,SMOTE2,f1 score,0.814735362113607
142,heart,LogisticRegression,SMOTE2,geometric mean score,0.8986666666666666
143,heart,LogisticRegression,SMOTE2,roc auc score,0.8314094696143443
144,iris,LogisticRegression,KMeansSMOTE,f1 score,0.650755274168897
145,iris,LogisticRegression,KMeansSMOTE,geometric mean score,0.7880810702177483
146,iris,LogisticRegression,KMeansSMOTE,roc auc score,0.7255421508159923
147,iris,LogisticRegression,KMeansSMOTE2,f1 score,0.657945448503447
148,iris,LogisticRegression,KMeansSMOTE2,geometric mean score,0.7917044580755654
149,iris,LogisticRegression,KMeansSMOTE2,roc auc score,0.7374351764465968
150,iris,LogisticRegression,KMeansSMOTE3,f1 score,0.6397956987932609
151,iris,LogisticRegression,KMeansSMOTE3,geometric mean score,0.79090843556674
152,iris,LogisticRegression,KMeansSMOTE3,roc auc score,0.728245834159514
153,iris,LogisticRegression,KMeansSMOTE4,f1 score,0.6491005418108993
154,iris,LogisticRegression,KMeansSMOTE4,geometric mean score,0.7811538831218761
155,iris,LogisticRegression,KMeansSMOTE4,roc auc score,0.7294589449380863
156,iris,LogisticRegression,None,f1 score,0.305967710430597
157,iris,LogisticRegression,None,geometric mean score,0.7890693264828212
158,iris,LogisticRegression,None,roc auc score,0.4352860421949242
159,iris,LogisticRegression,RandomOverSampler,f1 score,0.6482112843199503
160,iris,LogisticRegression,RandomOverSampler,geometric mean score,0.7848327566320645
161,iris,LogisticRegression,RandomOverSampler,roc auc score,0.7260517068154512
162,iris,LogisticRegression,SMOTE,f1 score,0.6533829126212363
163,iris,LogisticRegression,SMOTE,geometric mean score,0.7818832791583656
164,iris,LogisticRegression,SMOTE,roc auc score,0.7328671891599465
