,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,average precision score,0.04611024292983631
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.06046232487894262
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.044280126380390555
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.032170972326687426
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.04004091419989153
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.0474792297036066
6,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,average precision score,0.04949418027684486
7,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.062222698210460906
8,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.046464553390171394
9,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.03380443011342844
10,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.03983715967033976
11,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.04736958603420509
12,breast_tissue,GradientBoostingClassifier,RandomOverSampler,average precision score,0.047982515824765724
13,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.050569613615042676
14,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.03864069253676733
15,breast_tissue,GradientBoostingClassifier,RandomOverSampler,precision score,0.03193072940877266
16,breast_tissue,GradientBoostingClassifier,RandomOverSampler,recall score,0.03464209155728215
17,breast_tissue,GradientBoostingClassifier,RandomOverSampler,specificity score,0.042540150161777625
18,breast_tissue,GradientBoostingClassifier,SMOTE,average precision score,0.043613063572181046
19,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.0694000980739214
20,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.037362603979583124
21,breast_tissue,GradientBoostingClassifier,SMOTE,precision score,0.033318856795897064
22,breast_tissue,GradientBoostingClassifier,SMOTE,recall score,0.0396934123734249
23,breast_tissue,GradientBoostingClassifier,SMOTE,specificity score,0.04697247206856895
24,breast_tissue,GradientBoostingClassifier,SMOTE2,average precision score,0.037572112064459436
25,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.059018740643126545
26,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.039327048729259115
27,breast_tissue,GradientBoostingClassifier,SMOTE2,precision score,0.028221757860309917
28,breast_tissue,GradientBoostingClassifier,SMOTE2,recall score,0.0351264997618333
29,breast_tissue,GradientBoostingClassifier,SMOTE2,specificity score,0.04149923421500077
30,breast_tissue,LogisticRegression,KMeansSMOTE,average precision score,0.04721756264801933
31,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.07226321896072305
32,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.03709606905663083
33,breast_tissue,LogisticRegression,KMeansSMOTE,precision score,0.03651936396406242
34,breast_tissue,LogisticRegression,KMeansSMOTE,recall score,0.040031488208543624
35,breast_tissue,LogisticRegression,KMeansSMOTE,specificity score,0.047578202897162636
36,breast_tissue,LogisticRegression,KMeansSMOTE2,average precision score,0.03768519154552531
37,breast_tissue,LogisticRegression,KMeansSMOTE2,f1 score,0.0676254474829943
38,breast_tissue,LogisticRegression,KMeansSMOTE2,geometric mean score,0.03262257000763728
39,breast_tissue,LogisticRegression,KMeansSMOTE2,precision score,0.030471524702046754
40,breast_tissue,LogisticRegression,KMeansSMOTE2,recall score,0.03601520809984586
41,breast_tissue,LogisticRegression,KMeansSMOTE2,specificity score,0.042434080212708086
42,breast_tissue,LogisticRegression,RandomOverSampler,average precision score,0.03666319769324005
43,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.05031001905395317
44,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.031086613820429067
45,breast_tissue,LogisticRegression,RandomOverSampler,precision score,0.026761422338418384
46,breast_tissue,LogisticRegression,RandomOverSampler,recall score,0.029773625311659703
47,breast_tissue,LogisticRegression,RandomOverSampler,specificity score,0.035755651375004194
48,breast_tissue,LogisticRegression,SMOTE,average precision score,0.0378375299181464
49,breast_tissue,LogisticRegression,SMOTE,f1 score,0.04829926428053693
50,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.02895592772363614
51,breast_tissue,LogisticRegression,SMOTE,precision score,0.028182380147603627
52,breast_tissue,LogisticRegression,SMOTE,recall score,0.029354333755392873
53,breast_tissue,LogisticRegression,SMOTE,specificity score,0.03521347949998258
54,breast_tissue,LogisticRegression,SMOTE2,average precision score,0.031592392794155634
55,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.04277427944941635
56,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.029370392184282015
57,breast_tissue,LogisticRegression,SMOTE2,precision score,0.025442645936755874
58,breast_tissue,LogisticRegression,SMOTE2,recall score,0.025824685168341088
59,breast_tissue,LogisticRegression,SMOTE2,specificity score,0.030435581540220018
60,breast_tissue,RandomForestClassifier,KMeansSMOTE,average precision score,0.0557805431032176
61,breast_tissue,RandomForestClassifier,KMeansSMOTE,f1 score,0.06813524618023628
62,breast_tissue,RandomForestClassifier,KMeansSMOTE,geometric mean score,0.04898826450741696
63,breast_tissue,RandomForestClassifier,KMeansSMOTE,precision score,0.03220554731595963
64,breast_tissue,RandomForestClassifier,KMeansSMOTE,recall score,0.04581010130816268
65,breast_tissue,RandomForestClassifier,KMeansSMOTE,specificity score,0.05665462846830655
66,breast_tissue,RandomForestClassifier,KMeansSMOTE2,average precision score,0.05417377342230854
67,breast_tissue,RandomForestClassifier,KMeansSMOTE2,f1 score,0.07007291376521013
68,breast_tissue,RandomForestClassifier,KMeansSMOTE2,geometric mean score,0.041627665122381
69,breast_tissue,RandomForestClassifier,KMeansSMOTE2,precision score,0.0338618690642446
70,breast_tissue,RandomForestClassifier,KMeansSMOTE2,recall score,0.043660515426256596
71,breast_tissue,RandomForestClassifier,KMeansSMOTE2,specificity score,0.05278152224778229
72,breast_tissue,RandomForestClassifier,RandomOverSampler,average precision score,0.0519142344806017
73,breast_tissue,RandomForestClassifier,RandomOverSampler,f1 score,0.06587339014441523
74,breast_tissue,RandomForestClassifier,RandomOverSampler,geometric mean score,0.04480364745951777
75,breast_tissue,RandomForestClassifier,RandomOverSampler,precision score,0.03454430655108744
76,breast_tissue,RandomForestClassifier,RandomOverSampler,recall score,0.03960364690757836
77,breast_tissue,RandomForestClassifier,RandomOverSampler,specificity score,0.04865335776044872
78,breast_tissue,RandomForestClassifier,SMOTE,average precision score,0.04500290546076669
79,breast_tissue,RandomForestClassifier,SMOTE,f1 score,0.0714666293602038
80,breast_tissue,RandomForestClassifier,SMOTE,geometric mean score,0.04420544479520102
81,breast_tissue,RandomForestClassifier,SMOTE,precision score,0.03421884014876612
82,breast_tissue,RandomForestClassifier,SMOTE,recall score,0.0410239685130701
83,breast_tissue,RandomForestClassifier,SMOTE,specificity score,0.048515932916577464
84,breast_tissue,RandomForestClassifier,SMOTE2,average precision score,0.04771727629975295
85,breast_tissue,RandomForestClassifier,SMOTE2,f1 score,0.07034544570111939
86,breast_tissue,RandomForestClassifier,SMOTE2,geometric mean score,0.0452451759369051
87,breast_tissue,RandomForestClassifier,SMOTE2,precision score,0.03587414838587039
88,breast_tissue,RandomForestClassifier,SMOTE2,recall score,0.04209964526467513
89,breast_tissue,RandomForestClassifier,SMOTE2,specificity score,0.05015741179651797
90,ecoli,GradientBoostingClassifier,KMeansSMOTE,average precision score,0.03048908698289905
91,ecoli,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.03451022459992305
92,ecoli,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.02366506791568633
93,ecoli,GradientBoostingClassifier,KMeansSMOTE,precision score,0.006327185476855146
94,ecoli,GradientBoostingClassifier,KMeansSMOTE,recall score,0.019766254258788207
95,ecoli,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.025394722193715986
96,ecoli,GradientBoostingClassifier,KMeansSMOTE2,average precision score,0.031428775255459604
