,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.06821081059309946
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.026721902932454022
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.04337374152727923
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.05369630548058397
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.012030270829289695
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.02343810648959563
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.029474270916305723
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.020309586362065993
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.05836587482882496
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.06740807560562308
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.0034872619585170567
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.0383102240774527
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.057696666351139285
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.02069218027650781
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.0652561497190911
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.019978373092232642
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.01842298380565549
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.020865124674841834
18,breast_tissue,LogisticRegression,None,f1 score,0.026845901583173997
19,breast_tissue,LogisticRegression,None,geometric mean score,0.017419454735999318
20,breast_tissue,LogisticRegression,None,roc auc score,0.02418603405561166
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.004312504569853371
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.006976278582770813
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.0024017957673180945
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.01637618753878069
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.018382160603789787
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.03489984431736978
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.01699231959873252
