,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.7292701719457271
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8466938405797101
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.6740201232598894
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.7987284253463663
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.8292236983360172
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.7145660591221145
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7495036486377709
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8404706790123456
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.6555333401291916
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.745248136692866
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.892193370907139
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.6337953452986134
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.755905375259335
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8582259796027912
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.6716055191900603
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.8095257396709371
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.8999765163714439
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.7466450535416053
18,breast_tissue,LogisticRegression,None,f1 score,0.8016459202672613
19,breast_tissue,LogisticRegression,None,geometric mean score,0.8966720343531938
20,breast_tissue,LogisticRegression,None,roc auc score,0.7423343323343322
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.7886227533419183
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.8870269726247987
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.7218700283434583
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.8278616610115529
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.896688808373591
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.7365199213025301
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.7906673832965868
28,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.9007145732689211
29,breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.7133854440301217
30,ecoli,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.8928787844523756
31,ecoli,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.9608335142775122
32,ecoli,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.8153277577297184
33,ecoli,GradientBoostingClassifier,None,f1 score,0.8928258202793921
34,ecoli,GradientBoostingClassifier,None,geometric mean score,0.9570170559202903
35,ecoli,GradientBoostingClassifier,None,roc auc score,0.8039257007265262
36,ecoli,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8765195983937293
37,ecoli,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.9547536272192092
38,ecoli,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8265134593735
39,ecoli,GradientBoostingClassifier,SMOTE,f1 score,0.8780387512922941
40,ecoli,GradientBoostingClassifier,SMOTE,geometric mean score,0.9585868788227
41,ecoli,GradientBoostingClassifier,SMOTE,roc auc score,0.7705635548306743
42,ecoli,GradientBoostingClassifier,SMOTE2,f1 score,0.8924237529832761
43,ecoli,GradientBoostingClassifier,SMOTE2,geometric mean score,0.9533280310589666
