,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,average precision score,0.9473642325857499
1,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.9200950415267624
2,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8487179487179487
3,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,precision score,0.8827463998707643
4,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,recall score,0.9992890581365831
5,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.9237307156216387
6,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,average precision score,0.9473642325857499
7,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.9200950415267624
8,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.8487179487179487
9,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.8827463998707643
10,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.9992890581365831
11,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.9237307156216387
12,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,average precision score,0.9473642325857499
13,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,f1 score,0.9200950415267624
14,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,geometric mean score,0.8487179487179487
15,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,precision score,0.8827463998707643
16,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,recall score,0.9992890581365831
17,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,specificity score,0.9237307156216387
18,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE4,average precision score,0.9473642325857499
19,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE4,f1 score,0.9200950415267624
20,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE4,geometric mean score,0.8487179487179487
21,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE4,precision score,0.8827463998707643
22,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE4,recall score,0.9992890581365831
23,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE4,specificity score,0.9237307156216387
24,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE5,average precision score,0.9473642325857499
25,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE5,f1 score,0.9200950415267624
26,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE5,geometric mean score,0.8487179487179487
27,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE5,precision score,0.8827463998707643
28,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE5,recall score,0.9992890581365831
29,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE5,specificity score,0.9237307156216387
30,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,average precision score,0.9449461774456503
31,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,f1 score,0.9564311827868291
32,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.9166666666666667
33,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,precision score,0.9077961975737991
34,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,recall score,0.9989844026160858
35,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,specificity score,0.9009210762953892
36,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,average precision score,0.9473642325857499
37,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,f1 score,0.9200950415267624
38,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,geometric mean score,0.8487179487179487
39,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,precision score,0.8827463998707643
40,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,recall score,0.9992890581365831
41,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,specificity score,0.9237307156216387
42,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,average precision score,0.9372958638317425
43,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,f1 score,0.8927153115363422
44,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7999999999999999
45,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,precision score,0.8634196967163434
46,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,recall score,0.9995175715373735
47,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,specificity score,0.9447623017930372
48,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,average precision score,0.9818859026314992
49,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,f1 score,0.9686837205402519
50,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,geometric mean score,0.9397435897435897
51,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,precision score,0.9197917754349205
52,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,recall score,0.9989589767767987
53,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,specificity score,0.9037322156183745
54,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,average precision score,0.9818859026314992
55,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,f1 score,0.9686837205402519
56,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,geometric mean score,0.9397435897435897
57,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,precision score,0.9197917754349205
58,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,recall score,0.9989589767767987
59,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,specificity score,0.9037322156183745
60,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,average precision score,0.9818859026314992
61,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,f1 score,0.9686837205402519
62,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,geometric mean score,0.9397435897435897
63,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,precision score,0.9197917754349205
64,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,recall score,0.9989589767767987
65,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,specificity score,0.9037322156183745
66,mnist-imb-1-7,LogisticRegression,KMeansSMOTE4,average precision score,0.9818859026314992
67,mnist-imb-1-7,LogisticRegression,KMeansSMOTE4,f1 score,0.9686837205402519
68,mnist-imb-1-7,LogisticRegression,KMeansSMOTE4,geometric mean score,0.9397435897435897
69,mnist-imb-1-7,LogisticRegression,KMeansSMOTE4,precision score,0.9197917754349205
70,mnist-imb-1-7,LogisticRegression,KMeansSMOTE4,recall score,0.9989589767767987
71,mnist-imb-1-7,LogisticRegression,KMeansSMOTE4,specificity score,0.9037322156183745
72,mnist-imb-1-7,LogisticRegression,KMeansSMOTE5,average precision score,0.9818859026314992
73,mnist-imb-1-7,LogisticRegression,KMeansSMOTE5,f1 score,0.9686837205402519
74,mnist-imb-1-7,LogisticRegression,KMeansSMOTE5,geometric mean score,0.9397435897435897
75,mnist-imb-1-7,LogisticRegression,KMeansSMOTE5,precision score,0.9197917754349205
76,mnist-imb-1-7,LogisticRegression,KMeansSMOTE5,recall score,0.9989589767767987
77,mnist-imb-1-7,LogisticRegression,KMeansSMOTE5,specificity score,0.9037322156183745
78,mnist-imb-1-7,LogisticRegression,RandomOverSampler,average precision score,0.981474888427195
79,mnist-imb-1-7,LogisticRegression,RandomOverSampler,f1 score,0.9700008387555217
80,mnist-imb-1-7,LogisticRegression,RandomOverSampler,geometric mean score,0.9423076923076923
81,mnist-imb-1-7,LogisticRegression,RandomOverSampler,precision score,0.9182973567119663
82,mnist-imb-1-7,LogisticRegression,RandomOverSampler,recall score,0.9988955088915485
83,mnist-imb-1-7,LogisticRegression,RandomOverSampler,specificity score,0.8987020240014664
84,mnist-imb-1-7,LogisticRegression,SMOTE,average precision score,0.9818859026314992
85,mnist-imb-1-7,LogisticRegression,SMOTE,f1 score,0.9686837205402519
86,mnist-imb-1-7,LogisticRegression,SMOTE,geometric mean score,0.9397435897435897
