,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.7688891994367009
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8418981481481481
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.6986770575566178
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.758981859420065
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.8484375
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.6874834678565113
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7398430551078785
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8492527173913043
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.6651167096688085
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.7688891994367009
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.8418981481481481
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.6986770575566178
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.758981859420065
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8484375
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.6874834678565113
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.7860208498971922
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.8963415861513686
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.7206724506544596
18,breast_tissue,LogisticRegression,None,f1 score,0.7982602026892367
19,breast_tissue,LogisticRegression,None,geometric mean score,0.9000150966183575
20,breast_tissue,LogisticRegression,None,roc auc score,0.7348015674259369
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.7883957322725532
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.9005183172302738
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.7236538563151224
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.7860208498971922
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.8963415861513686
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.7206724506544596
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.7982602026892367
