,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.04465959459791118
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.03990465452926268
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.0553113110361147
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.04751389663864138
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.03336200652159477
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.05663278759613252
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.033914361783760685
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.024962058957832513
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.039955401300479636
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.04465959459791118
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.03990465452926268
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.0553113110361147
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.04751389663864138
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.03336200652159477
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.05663278759613252
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.02676691402284406
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.010779587694985718
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.03174020609544968
18,breast_tissue,LogisticRegression,None,f1 score,0.028938883261128864
19,breast_tissue,LogisticRegression,None,geometric mean score,0.012848624798925996
20,breast_tissue,LogisticRegression,None,roc auc score,0.03346155557174154
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.01580697674080146
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.011667641319248183
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.018276154862864862
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.02676691402284406
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.010779587694985718
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.03174020609544968
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.028938883261128864
28,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.012848624798925996
29,breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.03346155557174154
