Classifier,Metric,KMeansSMOTE,None,RandomOverSampler,SMOTE,SMOTE2
LogisticRegression,f1 score,5,3,1,2,4
LogisticRegression,geometric mean score,4,5,2,1,3
LogisticRegression,roc auc score,1,2,4,5,3
