,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.8314009661835748
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8505817230273754
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.6707564677671307
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.7439564026916519
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.6842528126614813
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.6772222222222218
6,breast_tissue,GradientBoostingClassifier,None,f1 score,0.8414009661835752
7,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.8551620370370366
8,breast_tissue,GradientBoostingClassifier,None,precision score,0.6734825609380897
9,breast_tissue,GradientBoostingClassifier,None,recall score,0.7452883096182251
10,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.6968922558922559
11,breast_tissue,GradientBoostingClassifier,None,specificity score,0.6711111111111105
12,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8270410628019325
13,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8492018921095008
14,breast_tissue,GradientBoostingClassifier,RandomOverSampler,precision score,0.6733943815309239
15,breast_tissue,GradientBoostingClassifier,RandomOverSampler,recall score,0.7462485721390272
16,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.6819154333511918
17,breast_tissue,GradientBoostingClassifier,RandomOverSampler,specificity score,0.6849999999999996
18,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,f1 score,0.7420893719806765
19,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,geometric mean score,0.8552133655394526
20,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,precision score,0.6922626922400248
21,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,recall score,0.7628777566045123
22,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,roc auc score,0.6242129464504076
23,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,specificity score,0.7975
24,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.8036654589371982
25,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.855024154589372
26,breast_tissue,GradientBoostingClassifier,SMOTE,precision score,0.6888674138317973
27,breast_tissue,GradientBoostingClassifier,SMOTE,recall score,0.7605149991915257
28,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.6669415395381203
29,breast_tissue,GradientBoostingClassifier,SMOTE,specificity score,0.7316666666666667
30,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.8020048309178747
31,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8557158313204506
32,breast_tissue,GradientBoostingClassifier,SMOTE2,precision score,0.690779290043284
33,breast_tissue,GradientBoostingClassifier,SMOTE2,recall score,0.7625251391683117
34,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.6659705243418731
35,breast_tissue,GradientBoostingClassifier,SMOTE2,specificity score,0.7366666666666668
