,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,average precision score,0.9050183700033422
1,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.8974358974358975
2,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.9189790818843472
3,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,precision score,0.9519011180322392
4,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,recall score,0.9991621078591374
5,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.9459407876120952
6,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,average precision score,0.9050183700033422
7,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.8974358974358975
8,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.9189790818843472
9,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.9519011180322392
10,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.9991621078591374
11,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.9459407876120952
12,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,average precision score,0.9050183700033422
13,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,f1 score,0.8974358974358975
14,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,geometric mean score,0.9189790818843472
15,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,precision score,0.9519011180322392
16,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,recall score,0.9991621078591374
17,mnist-imb-1-7,GradientBoostingClassifier,KMeansSMOTE3,specificity score,0.9459407876120952
18,mnist-imb-1-7,GradientBoostingClassifier,None,average precision score,0.9050183700033422
19,mnist-imb-1-7,GradientBoostingClassifier,None,f1 score,0.8974358974358975
20,mnist-imb-1-7,GradientBoostingClassifier,None,geometric mean score,0.9189790818843472
21,mnist-imb-1-7,GradientBoostingClassifier,None,precision score,0.9519011180322392
22,mnist-imb-1-7,GradientBoostingClassifier,None,recall score,0.9991621078591374
23,mnist-imb-1-7,GradientBoostingClassifier,None,specificity score,0.9459407876120952
24,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,average precision score,0.9101422178634382
25,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,f1 score,0.9256410256410257
26,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.898836286366614
27,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,precision score,0.9486632588549817
28,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,recall score,0.9989209008812969
29,mnist-imb-1-7,GradientBoostingClassifier,RandomOverSampler,specificity score,0.9610589569221439
30,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,average precision score,0.9050183700033422
31,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,f1 score,0.8974358974358975
32,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,geometric mean score,0.9189790818843472
33,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,precision score,0.9519011180322392
34,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,recall score,0.9991621078591374
35,mnist-imb-1-7,GradientBoostingClassifier,SMOTE,specificity score,0.9459407876120952
36,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,average precision score,0.889178249188426
37,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,f1 score,0.8782051282051283
38,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,geometric mean score,0.9069752340686875
39,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,precision score,0.9462870121996018
40,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,recall score,0.9990351527460438
41,mnist-imb-1-7,GradientBoostingClassifier,SMOTE2,specificity score,0.9359574260483733
42,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,average precision score,0.9222942767592134
43,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,f1 score,0.9461538461538461
44,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,geometric mean score,0.903115292221614
45,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,precision score,0.9825098474203576
46,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,recall score,0.9989335509375113
47,mnist-imb-1-7,LogisticRegression,KMeansSMOTE,specificity score,0.9719606167578891
48,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,average precision score,0.9222942767592134
49,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,f1 score,0.9461538461538461
50,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,geometric mean score,0.903115292221614
51,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,precision score,0.9825098474203576
52,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,recall score,0.9989335509375113
53,mnist-imb-1-7,LogisticRegression,KMeansSMOTE2,specificity score,0.9719606167578891
54,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,average precision score,0.9222942767592134
55,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,f1 score,0.9461538461538461
56,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,geometric mean score,0.903115292221614
57,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,precision score,0.9825098474203576
58,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,recall score,0.9989335509375113
59,mnist-imb-1-7,LogisticRegression,KMeansSMOTE3,specificity score,0.9719606167578891
60,mnist-imb-1-7,LogisticRegression,None,average precision score,0.9222942767592134
61,mnist-imb-1-7,LogisticRegression,None,f1 score,0.9461538461538461
62,mnist-imb-1-7,LogisticRegression,None,geometric mean score,0.903115292221614
63,mnist-imb-1-7,LogisticRegression,None,precision score,0.9825098474203576
64,mnist-imb-1-7,LogisticRegression,None,recall score,0.9989335509375113
65,mnist-imb-1-7,LogisticRegression,None,specificity score,0.9719606167578891
66,mnist-imb-1-7,LogisticRegression,RandomOverSampler,average precision score,0.9231806909222012
67,mnist-imb-1-7,LogisticRegression,RandomOverSampler,f1 score,0.95
68,mnist-imb-1-7,LogisticRegression,RandomOverSampler,geometric mean score,0.9012268854855987
69,mnist-imb-1-7,LogisticRegression,RandomOverSampler,precision score,0.98193253627522
70,mnist-imb-1-7,LogisticRegression,RandomOverSampler,recall score,0.9989081686190595
71,mnist-imb-1-7,LogisticRegression,RandomOverSampler,specificity score,0.9739558915357165
72,mnist-imb-1-7,LogisticRegression,SMOTE,average precision score,0.9222942767592134
73,mnist-imb-1-7,LogisticRegression,SMOTE,f1 score,0.9461538461538461
74,mnist-imb-1-7,LogisticRegression,SMOTE,geometric mean score,0.903115292221614
75,mnist-imb-1-7,LogisticRegression,SMOTE,precision score,0.9825098474203576
76,mnist-imb-1-7,LogisticRegression,SMOTE,recall score,0.9989335509375113
77,mnist-imb-1-7,LogisticRegression,SMOTE,specificity score,0.9719606167578891
