Classifier,Metric,KMeansSMOTE,None,RandomOverSampler,RandomUnderSampler,SMOTE,SMOTE2
GradientBoostingClassifier,f1 score,4,6,2,1,3,5
GradientBoostingClassifier,geometric mean score,4,1,5,6,3,2
GradientBoostingClassifier,precision score,3,6,4,5,2,1
GradientBoostingClassifier,recall score,4,6,2,1,3,5
GradientBoostingClassifier,roc auc score,2,6,4,5,1,3
GradientBoostingClassifier,specificity score,5,2,1,3,4,6
LogisticRegression,f1 score,4,6,3,1,2,5
LogisticRegression,geometric mean score,5,1,4,6,3,2
LogisticRegression,precision score,4,6,3,1,2,5
LogisticRegression,recall score,6,5,4,1,3,2
LogisticRegression,roc auc score,4,6,3,1,2,5
LogisticRegression,specificity score,6,2,5,1,4,3
