,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.02753427934174674
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.0361330724304105
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.04490235118204384
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.026408214052535513
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.03408653711216911
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.041473574695993706
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.028431910267944536
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.030992330169749713
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.039207730344190825
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.03328711305442635
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.03624494163961267
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.04286806299624813
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.015049794918404462
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.031457457403273686
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.036535858418085036
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.01836047831041025
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.02534960290044035
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.030169172529942452
18,breast_tissue,LogisticRegression,None,f1 score,0.01377579228974861
19,breast_tissue,LogisticRegression,None,geometric mean score,0.025086307126769628
20,breast_tissue,LogisticRegression,None,roc auc score,0.03278613657482363
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.010020768056680172
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.026238561950235665
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.030584618123896984
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.012575348957082132
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.011380096368190927
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.012451554666871445
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.013842524930463307
28,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.01654976239152606
