,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.8539704106280193
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.7482786048593811
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.6766868579622203
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.8582175925925928
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.7469380416678375
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.675787374274004
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8553567834138487
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.7688083555462889
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7006151737549586
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.8589824879227054
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.7623459735494985
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.6938831527921983
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.8666440217391305
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7568704107158497
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.685936358392933
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.8950181159420291
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.786152305474916
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.7203020928500607
18,breast_tissue,LogisticRegression,None,f1 score,0.8988375603864733
19,breast_tissue,LogisticRegression,None,geometric mean score,0.7536681063065224
20,breast_tissue,LogisticRegression,None,roc auc score,0.6889193545105063
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.8996829710144928
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.7939106728256894
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.7304411317623463
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.8997433574879226
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.7961363830740824
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.731702165146568
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.8982185990338165
28,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.7964827478113361
29,breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.7334236636399305
30,ecoli,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.9601421611322145
31,ecoli,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8805474835662832
32,ecoli,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.81522945979236
33,ecoli,GradientBoostingClassifier,None,f1 score,0.9567897005760125
34,ecoli,GradientBoostingClassifier,None,geometric mean score,0.8713911521986516
35,ecoli,GradientBoostingClassifier,None,roc auc score,0.8101677518524669
36,ecoli,GradientBoostingClassifier,RandomOverSampler,f1 score,0.9607502311612712
37,ecoli,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.886774175273606
38,ecoli,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8118891945531065
39,ecoli,GradientBoostingClassifier,SMOTE,f1 score,0.9608001961516223
40,ecoli,GradientBoostingClassifier,SMOTE,geometric mean score,0.8866152282266373
41,ecoli,GradientBoostingClassifier,SMOTE,roc auc score,0.7971948495864903
42,ecoli,GradientBoostingClassifier,SMOTE2,f1 score,0.9569440967876514
43,ecoli,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8724532111172948
44,ecoli,GradientBoostingClassifier,SMOTE2,roc auc score,0.7977274291120041
45,ecoli,LogisticRegression,KMeansSMOTE,f1 score,0.9349674422462776
46,ecoli,LogisticRegression,KMeansSMOTE,geometric mean score,0.896672972804156
47,ecoli,LogisticRegression,KMeansSMOTE,roc auc score,0.7151067683015198
48,ecoli,LogisticRegression,None,f1 score,0.9349681741553159
49,ecoli,LogisticRegression,None,geometric mean score,0.3562097012939035
50,ecoli,LogisticRegression,None,roc auc score,0.24402056964986024
51,ecoli,LogisticRegression,RandomOverSampler,f1 score,0.9350379250866704
52,ecoli,LogisticRegression,RandomOverSampler,geometric mean score,0.8910192563289652
53,ecoli,LogisticRegression,RandomOverSampler,roc auc score,0.7071557338604537
54,ecoli,LogisticRegression,SMOTE,f1 score,0.9353790190955069
55,ecoli,LogisticRegression,SMOTE,geometric mean score,0.8914633937191667
56,ecoli,LogisticRegression,SMOTE,roc auc score,0.7069826111652389
57,ecoli,LogisticRegression,SMOTE2,f1 score,0.9316042714211479
58,ecoli,LogisticRegression,SMOTE2,geometric mean score,0.8614624305358933
59,ecoli,LogisticRegression,SMOTE2,roc auc score,0.6605855185295522
60,eucalyptus,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.882749275739607
61,eucalyptus,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.6811179400623729
62,eucalyptus,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.534482374425276
63,eucalyptus,GradientBoostingClassifier,None,f1 score,0.8852038720564274
64,eucalyptus,GradientBoostingClassifier,None,geometric mean score,0.655912358315221
65,eucalyptus,GradientBoostingClassifier,None,roc auc score,0.5256614825916117
66,eucalyptus,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8785361229853633
67,eucalyptus,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.7344673395269791
68,eucalyptus,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.5492193548069829
69,eucalyptus,GradientBoostingClassifier,SMOTE,f1 score,0.8808133050191062
70,eucalyptus,GradientBoostingClassifier,SMOTE,geometric mean score,0.7065037565815453
71,eucalyptus,GradientBoostingClassifier,SMOTE,roc auc score,0.5320287274466275
72,eucalyptus,GradientBoostingClassifier,SMOTE2,f1 score,0.8803874082102674
73,eucalyptus,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7120668358188699
74,eucalyptus,GradientBoostingClassifier,SMOTE2,roc auc score,0.5422785988121043
75,eucalyptus,LogisticRegression,KMeansSMOTE,f1 score,0.8609418110281369
76,eucalyptus,LogisticRegression,KMeansSMOTE,geometric mean score,0.7603850248377386
77,eucalyptus,LogisticRegression,KMeansSMOTE,roc auc score,0.5367353498602826
78,eucalyptus,LogisticRegression,None,f1 score,0.8584503663923554
79,eucalyptus,LogisticRegression,None,geometric mean score,0.4276158937868586
80,eucalyptus,LogisticRegression,None,roc auc score,0.30269604427635793
81,eucalyptus,LogisticRegression,RandomOverSampler,f1 score,0.8880515509659158
82,eucalyptus,LogisticRegression,RandomOverSampler,geometric mean score,0.7881469595259754
83,eucalyptus,LogisticRegression,RandomOverSampler,roc auc score,0.5248819053837883
84,eucalyptus,LogisticRegression,SMOTE,f1 score,0.8805924527436957
85,eucalyptus,LogisticRegression,SMOTE,geometric mean score,0.7858701541513753
86,eucalyptus,LogisticRegression,SMOTE,roc auc score,0.5247180175897044
87,eucalyptus,LogisticRegression,SMOTE2,f1 score,0.8869413447970078
88,eucalyptus,LogisticRegression,SMOTE2,geometric mean score,0.7914029923117124
89,eucalyptus,LogisticRegression,SMOTE2,roc auc score,0.5336318927497613
90,glass,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.9104883756038648
91,glass,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8297427933501534
92,glass,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.7721291514875995
93,glass,GradientBoostingClassifier,None,f1 score,0.9122068739935587
94,glass,GradientBoostingClassifier,None,geometric mean score,0.8091805843981875
95,glass,GradientBoostingClassifier,None,roc auc score,0.7520179521052323
96,glass,GradientBoostingClassifier,RandomOverSampler,f1 score,0.9103443287037039
97,glass,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8273297143803596
98,glass,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7711582578057348
99,glass,GradientBoostingClassifier,SMOTE,f1 score,0.9089730525362318
100,glass,GradientBoostingClassifier,SMOTE,geometric mean score,0.8237811132508541
101,glass,GradientBoostingClassifier,SMOTE,roc auc score,0.7617839578003576
102,glass,GradientBoostingClassifier,SMOTE2,f1 score,0.9024192330917874
103,glass,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8139227884426834
104,glass,GradientBoostingClassifier,SMOTE2,roc auc score,0.7475830425712339
105,glass,LogisticRegression,KMeansSMOTE,f1 score,0.8152111010466989
106,glass,LogisticRegression,KMeansSMOTE,geometric mean score,0.7395285609530758
107,glass,LogisticRegression,KMeansSMOTE,roc auc score,0.6562043393552462
108,glass,LogisticRegression,None,f1 score,0.8134586352657005
109,glass,LogisticRegression,None,geometric mean score,0.6047763281338321
110,glass,LogisticRegression,None,roc auc score,0.4946719211965306
111,glass,LogisticRegression,RandomOverSampler,f1 score,0.8144814311594203
112,glass,LogisticRegression,RandomOverSampler,geometric mean score,0.7345656618093541
113,glass,LogisticRegression,RandomOverSampler,roc auc score,0.6546615758776325
114,glass,LogisticRegression,SMOTE,f1 score,0.8151305857487923
115,glass,LogisticRegression,SMOTE,geometric mean score,0.7327042654674535
116,glass,LogisticRegression,SMOTE,roc auc score,0.6524151969979524
117,glass,LogisticRegression,SMOTE2,f1 score,0.8106531803542675
118,glass,LogisticRegression,SMOTE2,geometric mean score,0.7221454110680026
119,glass,LogisticRegression,SMOTE2,roc auc score,0.6507919027504694
120,haberman,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.6378024691358023
121,haberman,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.522956844087413
122,haberman,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.36782865052992275
123,haberman,GradientBoostingClassifier,None,f1 score,0.633909465020576
124,haberman,GradientBoostingClassifier,None,geometric mean score,0.475808387824039
125,haberman,GradientBoostingClassifier,None,roc auc score,0.3186247425034661
126,haberman,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6325925925925926
127,haberman,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5635876013852538
128,haberman,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.4018053325729805
129,haberman,GradientBoostingClassifier,SMOTE,f1 score,0.6509958847736625
130,haberman,GradientBoostingClassifier,SMOTE,geometric mean score,0.5588447022190464
131,haberman,GradientBoostingClassifier,SMOTE,roc auc score,0.3984294630300764
132,haberman,GradientBoostingClassifier,SMOTE2,f1 score,0.6477860082304526
133,haberman,GradientBoostingClassifier,SMOTE2,geometric mean score,0.5564777238842286
134,haberman,GradientBoostingClassifier,SMOTE2,roc auc score,0.39498463650675053
135,haberman,LogisticRegression,KMeansSMOTE,f1 score,0.6583292181069959
136,haberman,LogisticRegression,KMeansSMOTE,geometric mean score,0.5998771354769389
137,haberman,LogisticRegression,KMeansSMOTE,roc auc score,0.4495784959343302
138,haberman,LogisticRegression,None,f1 score,0.6886502057613167
139,haberman,LogisticRegression,None,geometric mean score,0.37697945039824354
140,haberman,LogisticRegression,None,roc auc score,0.2376499792546498
141,haberman,LogisticRegression,RandomOverSampler,f1 score,0.6923703703703704
142,haberman,LogisticRegression,RandomOverSampler,geometric mean score,0.6350713284972207
143,haberman,LogisticRegression,RandomOverSampler,roc auc score,0.49515742490628745
144,haberman,LogisticRegression,SMOTE,f1 score,0.6920246913580247
145,haberman,LogisticRegression,SMOTE,geometric mean score,0.6367135280084628
146,haberman,LogisticRegression,SMOTE,roc auc score,0.49410949013611266
147,haberman,LogisticRegression,SMOTE2,f1 score,0.6823621399176955
148,haberman,LogisticRegression,SMOTE2,geometric mean score,0.6472485894996589
149,haberman,LogisticRegression,SMOTE2,roc auc score,0.5006996582603269
150,heart,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.8793166666666666
151,heart,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.7958707842153641
152,heart,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.7735361406298821
153,heart,GradientBoostingClassifier,None,f1 score,0.8782500000000001
154,heart,GradientBoostingClassifier,None,geometric mean score,0.7905138009352626
155,heart,GradientBoostingClassifier,None,roc auc score,0.7675224315794209
156,heart,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8763333333333334
157,heart,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.791517809413192
158,heart,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7695593078161458
159,heart,GradientBoostingClassifier,SMOTE,f1 score,0.8786833333333334
160,heart,GradientBoostingClassifier,SMOTE,geometric mean score,0.7910958877412703
161,heart,GradientBoostingClassifier,SMOTE,roc auc score,0.769110408942926
162,heart,GradientBoostingClassifier,SMOTE2,f1 score,0.8814833333333333
163,heart,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7973499697180543
164,heart,GradientBoostingClassifier,SMOTE2,roc auc score,0.7760678187872756
165,heart,LogisticRegression,KMeansSMOTE,f1 score,0.8999000000000003
166,heart,LogisticRegression,KMeansSMOTE,geometric mean score,0.8328406309185604
167,heart,LogisticRegression,KMeansSMOTE,roc auc score,0.8152225202802196
168,heart,LogisticRegression,None,f1 score,0.8986000000000001
169,heart,LogisticRegression,None,geometric mean score,0.8271320430754802
170,heart,LogisticRegression,None,roc auc score,0.8080843140785922
171,heart,LogisticRegression,RandomOverSampler,f1 score,0.8973166666666668
172,heart,LogisticRegression,RandomOverSampler,geometric mean score,0.8271472708362209
173,heart,LogisticRegression,RandomOverSampler,roc auc score,0.809808922723688
174,heart,LogisticRegression,SMOTE,f1 score,0.8990666666666666
175,heart,LogisticRegression,SMOTE,geometric mean score,0.8324452755772167
176,heart,LogisticRegression,SMOTE,roc auc score,0.8148997845028623
177,heart,LogisticRegression,SMOTE2,f1 score,0.8994333333333333
178,heart,LogisticRegression,SMOTE2,geometric mean score,0.827513236767215
179,heart,LogisticRegression,SMOTE2,roc auc score,0.8103558142989197
180,iris,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.9759557075949811
181,iris,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.9476488341517127
