,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.6625350754909578
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.7447166716803092
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.7027777777777778
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.6738881675788223
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.8002415458937199
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.8478789251207729
6,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.684685545935546
7,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.7560861343483084
8,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.6944444444444445
9,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.6846608533709982
10,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,roc auc score,0.829891304347826
11,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.8489407206119163
12,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,f1 score,0.6671068013513834
13,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,geometric mean score,0.7474176281702907
14,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,precision score,0.7111111111111111
15,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,recall score,0.6781970568550987
16,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,roc auc score,0.8001811594202897
17,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,specificity score,0.8428542673107889
18,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,f1 score,0.6749120275436064
19,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,geometric mean score,0.7556504053141323
20,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,precision score,0.7083333333333333
21,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,recall score,0.6844238871270195
22,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,roc auc score,0.8142512077294686
23,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,specificity score,0.8441903180354269
24,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,f1 score,0.6625350754909578
25,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,geometric mean score,0.7447166716803092
26,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,precision score,0.7027777777777778
27,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,recall score,0.6738881675788223
28,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,roc auc score,0.8002415458937199
29,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,specificity score,0.8473958333333333
30,breast_tissue,GradientBoostingClassifier,KMeansSMOTE6,f1 score,0.6671068013513834
