,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.044458015689426124
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.0403392559051824
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.05563266253999923
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.043172406507223
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.04415036373164566
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.024760461139888106
6,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.02996779585730139
7,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.026867346311225036
8,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.04140866624999611
9,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.03182779641992607
10,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,roc auc score,0.016168471212960254
11,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.024184685376654278
12,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,f1 score,0.03760521906226315
13,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,geometric mean score,0.031531292791321094
14,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,precision score,0.03749714209503074
15,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,recall score,0.03333644364720955
16,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,roc auc score,0.039428303157752996
17,breast_tissue,GradientBoostingClassifier,KMeansSMOTE3,specificity score,0.022728392829840394
18,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,f1 score,0.03668195752749298
19,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,geometric mean score,0.02718299692692397
20,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,precision score,0.04766495435642132
21,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,recall score,0.03386073477142468
22,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,roc auc score,0.022169503851681347
23,breast_tissue,GradientBoostingClassifier,KMeansSMOTE4,specificity score,0.021525771866204486
24,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,f1 score,0.044458015689426124
25,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,geometric mean score,0.0403392559051824
26,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,precision score,0.05563266253999923
27,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,recall score,0.043172406507223
28,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,roc auc score,0.04415036373164566
29,breast_tissue,GradientBoostingClassifier,KMeansSMOTE5,specificity score,0.024653594580402702
30,breast_tissue,GradientBoostingClassifier,KMeansSMOTE6,f1 score,0.03760521906226315
