Classifier,Metric,KMeansSMOTE,None,RandomOverSampler,RandomUnderSampler,SMOTE,SMOTE2
GradientBoostingClassifier,f1 score,4,6,1,2,3,5
GradientBoostingClassifier,geometric mean score,1,2,4,6,5,3
GradientBoostingClassifier,precision score,1,2,4,6,5,3
GradientBoostingClassifier,recall score,5,6,2,3,1,4
GradientBoostingClassifier,roc auc score,5,6,3,1,2,4
GradientBoostingClassifier,specificity score,2,1,4,6,5,3
LogisticRegression,f1 score,6,3,1,4,2,5
LogisticRegression,geometric mean score,2,1,5,3,6,4
LogisticRegression,precision score,1,2,5,3,6,4
LogisticRegression,recall score,5,6,1,4,2,3
LogisticRegression,roc auc score,5,6,2,4,1,3
LogisticRegression,specificity score,2,1,5,3,6,4
