,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,creditcard_scaled,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.9646709094576936
1,creditcard_scaled,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8546333437441277
2,creditcard_scaled,GradientBoostingClassifier,KMeansSMOTE,precision score,0.82063498885002
3,creditcard_scaled,GradientBoostingClassifier,KMeansSMOTE,recall score,0.8888773878890038
4,creditcard_scaled,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.7906504065040652
5,creditcard_scaled,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.9997643458691158
6,creditcard_scaled,GradientBoostingClassifier,None,f1 score,0.7173431103305926
7,creditcard_scaled,GradientBoostingClassifier,None,geometric mean score,0.8222491897323215
8,creditcard_scaled,GradientBoostingClassifier,None,precision score,0.646400599775
9,creditcard_scaled,GradientBoostingClassifier,None,recall score,0.7329891351419203
10,creditcard_scaled,GradientBoostingClassifier,None,roc auc score,0.5612466124661246
11,creditcard_scaled,GradientBoostingClassifier,None,specificity score,0.9997988146974378
12,creditcard_scaled,GradientBoostingClassifier,RandomOverSampler,f1 score,0.9792114261188269
13,creditcard_scaled,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.20438116865803835
14,creditcard_scaled,GradientBoostingClassifier,RandomOverSampler,precision score,0.33106333963339213
15,creditcard_scaled,GradientBoostingClassifier,RandomOverSampler,recall score,0.9348048406761627
16,creditcard_scaled,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8792682926829269
17,creditcard_scaled,GradientBoostingClassifier,RandomOverSampler,specificity score,0.9939993781911692
18,creditcard_scaled,GradientBoostingClassifier,RandomUnderSampler,f1 score,0.9789573955978622
19,creditcard_scaled,GradientBoostingClassifier,RandomUnderSampler,geometric mean score,0.03879751490540333
20,creditcard_scaled,GradientBoostingClassifier,RandomUnderSampler,precision score,0.0743410867275675
21,creditcard_scaled,GradientBoostingClassifier,RandomUnderSampler,recall score,0.9344761450088254
22,creditcard_scaled,GradientBoostingClassifier,RandomUnderSampler,roc auc score,0.909891598915989
23,creditcard_scaled,GradientBoostingClassifier,RandomUnderSampler,specificity score,0.959947243477883
