,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.6745923502786249
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.7252528712838372
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.6489126375814992
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.8550305287171228
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.8292270531400966
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.6500000000000001
6,breast_tissue,GradientBoostingClassifier,None,f1 score,0.6711785760392571
7,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.7512347981463366
8,breast_tissue,GradientBoostingClassifier,None,precision score,0.677962149057198
9,breast_tissue,GradientBoostingClassifier,None,recall score,0.8661131239935588
10,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.8177536231884058
11,breast_tissue,GradientBoostingClassifier,None,specificity score,0.7037037037037036
12,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6768704262331712
13,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.741214431333153
14,breast_tissue,GradientBoostingClassifier,RandomOverSampler,precision score,0.6672425826120031
15,breast_tissue,GradientBoostingClassifier,RandomOverSampler,recall score,0.8537640901771336
16,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8243961352657005
17,breast_tissue,GradientBoostingClassifier,RandomOverSampler,specificity score,0.6796296296296295
18,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,f1 score,0.6308906831043053
19,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,geometric mean score,0.7652470634386482
20,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,precision score,0.6932476966269102
21,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,recall score,0.8534554482018251
22,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,roc auc score,0.7565217391304347
23,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,specificity score,0.7833333333333332
