,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.041818195381364824
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.03326282626865043
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.038810404769203014
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.02502360977955025
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.02869578578484673
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.05121969142940492
6,breast_tissue,GradientBoostingClassifier,None,f1 score,0.05993337409673821
7,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.05217192784308461
8,breast_tissue,GradientBoostingClassifier,None,precision score,0.06501432953826347
9,breast_tissue,GradientBoostingClassifier,None,recall score,0.03137106342920387
10,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.030399742390752462
11,breast_tissue,GradientBoostingClassifier,None,specificity score,0.08825834559583216
12,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.04351493534666255
13,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.037826405240841084
14,breast_tissue,GradientBoostingClassifier,RandomOverSampler,precision score,0.0472876246314039
15,breast_tissue,GradientBoostingClassifier,RandomOverSampler,recall score,0.023804675389558792
16,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.022982247240731227
17,breast_tissue,GradientBoostingClassifier,RandomOverSampler,specificity score,0.06109908491575485
18,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,f1 score,0.05122101598010994
19,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,geometric mean score,0.040690983977824384
20,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,precision score,0.046929313335525545
21,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,recall score,0.03375794156766853
22,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,roc auc score,0.04964939185731529
23,breast_tissue,GradientBoostingClassifier,RandomUnderSampler,specificity score,0.0613990331344173
24,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.05993337409673821
25,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.05217192784308461
26,breast_tissue,GradientBoostingClassifier,SMOTE,precision score,0.06501432953826347
27,breast_tissue,GradientBoostingClassifier,SMOTE,recall score,0.03137106342920387
28,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.030399742390752462
29,breast_tissue,GradientBoostingClassifier,SMOTE,specificity score,0.08825834559583216
30,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.04664547217629368
31,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.04650879124081464
32,breast_tissue,GradientBoostingClassifier,SMOTE2,precision score,0.05392252055388535
33,breast_tissue,GradientBoostingClassifier,SMOTE2,recall score,0.028314725335299076
34,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.03199707142764387
35,breast_tissue,GradientBoostingClassifier,SMOTE2,specificity score,0.06528551682144479
36,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.03959364931500661
37,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.027102057102626035
38,breast_tissue,LogisticRegression,KMeansSMOTE,precision score,0.03142559128867177
39,breast_tissue,LogisticRegression,KMeansSMOTE,recall score,0.030658225678533924
40,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.0330683129761248
41,breast_tissue,LogisticRegression,KMeansSMOTE,specificity score,0.04811252243246881
42,breast_tissue,LogisticRegression,None,f1 score,0.03585861708581527
43,breast_tissue,LogisticRegression,None,geometric mean score,0.030500266420386814
44,breast_tissue,LogisticRegression,None,precision score,0.035005086391746244
45,breast_tissue,LogisticRegression,None,recall score,0.017936776850046514
46,breast_tissue,LogisticRegression,None,roc auc score,0.03269182079375859
47,breast_tissue,LogisticRegression,None,specificity score,0.03230330975738553
48,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.03708818530229613
49,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.026913665813553745
50,breast_tissue,LogisticRegression,RandomOverSampler,precision score,0.03071413136963148
51,breast_tissue,LogisticRegression,RandomOverSampler,recall score,0.019192989450534593
52,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.03194471351617417
53,breast_tissue,LogisticRegression,RandomOverSampler,specificity score,0.04511726181125237
54,breast_tissue,LogisticRegression,RandomUnderSampler,f1 score,0.05133242561091381
55,breast_tissue,LogisticRegression,RandomUnderSampler,geometric mean score,0.039090713080084674
56,breast_tissue,LogisticRegression,RandomUnderSampler,precision score,0.046874359959902495
57,breast_tissue,LogisticRegression,RandomUnderSampler,recall score,0.01695230312624836
58,breast_tissue,LogisticRegression,RandomUnderSampler,roc auc score,0.04783301390746458
59,breast_tissue,LogisticRegression,RandomUnderSampler,specificity score,0.05502391121511254
60,breast_tissue,LogisticRegression,SMOTE,f1 score,0.03585861708581527
61,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.030500266420386814
62,breast_tissue,LogisticRegression,SMOTE,precision score,0.035005086391746244
63,breast_tissue,LogisticRegression,SMOTE,recall score,0.017936776850046514
64,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.03269182079375859
65,breast_tissue,LogisticRegression,SMOTE,specificity score,0.03230330975738553
66,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.03180489701267392
67,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.035775515718677674
68,breast_tissue,LogisticRegression,SMOTE2,precision score,0.04047041915557677
