,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.8468850644122383
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.6611934105938555
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.7592068845165127
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.8556914251207729
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.6800425414628314
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.7558778082149048
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8500754830917874
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.6713824317505532
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7713274304346706
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.8582175925925926
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.6982981826972331
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.7484789095330562
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.8514593397745571
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6804068649620874
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.76942434739853
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.8886775362318842
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.7359163740178233
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.7916124003418429
18,breast_tissue,LogisticRegression,None,f1 score,0.8870068438003221
19,breast_tissue,LogisticRegression,None,geometric mean score,0.7283744997751544
20,breast_tissue,LogisticRegression,None,roc auc score,0.7865810224879175
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.8943941223832528
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.7264531200436669
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.7890351838267887
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.9027375201288246
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.736971415187807
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.7968255462607323
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.8978814412238327
28,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.7392882108281829
29,breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.8016381185723261
30,ecoli,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.963360487158656
31,ecoli,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8085311898149552
32,ecoli,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.8821158577457215
33,ecoli,GradientBoostingClassifier,None,f1 score,0.9552608035873302
34,ecoli,GradientBoostingClassifier,None,geometric mean score,0.7919169051341323
35,ecoli,GradientBoostingClassifier,None,roc auc score,0.8731069520942258
36,ecoli,GradientBoostingClassifier,RandomOverSampler,f1 score,0.9653457660281978
37,ecoli,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8186771689651977
38,ecoli,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8739546086193801
39,ecoli,GradientBoostingClassifier,SMOTE,f1 score,0.9649642340449928
40,ecoli,GradientBoostingClassifier,SMOTE,geometric mean score,0.8019497280733283
41,ecoli,GradientBoostingClassifier,SMOTE,roc auc score,0.8833004548530639
