Classifier,Metric,KMeansSMOTE,None,RandomOverSampler,SMOTE,SMOTE2
LogisticRegression,f1 score,4,3,5,2,1
LogisticRegression,geometric mean score,2,4,1,3,5
LogisticRegression,roc auc score,1,4,2,3,5
