,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.04071444268132781
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.05305980809160404
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.04156918821150519
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.030307158405340418
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.05886391680602759
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.04754631858507149
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.035732070161996525
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.055508033658616805
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.0454278696383742
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.030307158405340418
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.05886391680602759
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.04754631858507149
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.0453765032671526
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.06404639374684991
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.05235601206653257
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.028018108271760413
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.026301166664353698
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.0199564194622293
18,breast_tissue,LogisticRegression,None,f1 score,0.01835107653396665
19,breast_tissue,LogisticRegression,None,geometric mean score,0.032027684282885154
20,breast_tissue,LogisticRegression,None,roc auc score,0.02655254126389937
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.01682323446692987
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.02881148093917038
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.025770375705339514
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.01835107653396665
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.032027684282885154
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.02655254126389937
