,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.8484324677938808
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.6545454842756409
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.7303495991373316
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.8597046095008052
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.6803953003313848
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.7541571826238347
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8448344404186796
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.6803662156693141
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7519497400014821
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.8597046095008052
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.6803953003313848
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.7541571826238347
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.8563732890499196
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6782911119187383
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.7510839883858395
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.8867904589371982
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.7157225539375094
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.7803296778948726
18,breast_tissue,LogisticRegression,None,f1 score,0.8948319243156201
19,breast_tissue,LogisticRegression,None,geometric mean score,0.737170339527403
20,breast_tissue,LogisticRegression,None,roc auc score,0.7999718079311535
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.8961101046698874
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.7336120022199403
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.7974545738973502
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.8948319243156201
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.737170339527403
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.7999718079311535
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.89387077294686
28,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.7287249893201918
29,breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.7935097766808263
30,ecoli,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.9610177439147861
31,ecoli,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8031478379473098
32,ecoli,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.8748146168571681
33,ecoli,GradientBoostingClassifier,None,f1 score,0.9585874765484146
34,ecoli,GradientBoostingClassifier,None,geometric mean score,0.7978146132341928
35,ecoli,GradientBoostingClassifier,None,roc auc score,0.8813293592859534
36,ecoli,GradientBoostingClassifier,RandomOverSampler,f1 score,0.9581323023174679
37,ecoli,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8045927274364058
38,ecoli,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8806207230784591
39,ecoli,GradientBoostingClassifier,SMOTE,f1 score,0.9585874765484146
40,ecoli,GradientBoostingClassifier,SMOTE,geometric mean score,0.7978146132341928
41,ecoli,GradientBoostingClassifier,SMOTE,roc auc score,0.8813293592859534
