,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,average precision score,0.6801437451437452
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.6583333333333334
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8347222222222221
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.6625019448444316
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.7443485168004714
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.7374651863096834
6,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,average precision score,0.6823576260340968
7,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.6805555555555556
8,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.8290458937198067
9,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.6742094417112697
10,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.7432202830207628
11,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.7469507303331393
12,breast_tissue,GradientBoostingClassifier,RandomOverSampler,average precision score,0.670226146402617
13,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6861111111111111
14,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.817451690821256
15,breast_tissue,GradientBoostingClassifier,RandomOverSampler,precision score,0.6687142432351407
16,breast_tissue,GradientBoostingClassifier,RandomOverSampler,recall score,0.7521886562055536
17,breast_tissue,GradientBoostingClassifier,RandomOverSampler,specificity score,0.7434517686787532
18,breast_tissue,GradientBoostingClassifier,SMOTE,average precision score,0.661962294241706
19,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.7666666666666667
20,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.7875000000000001
21,breast_tissue,GradientBoostingClassifier,SMOTE,precision score,0.7040891690398187
22,breast_tissue,GradientBoostingClassifier,SMOTE,recall score,0.7557678949399796
23,breast_tissue,GradientBoostingClassifier,SMOTE,specificity score,0.7736148542580575
24,breast_tissue,GradientBoostingClassifier,SMOTE2,average precision score,0.6442745567126373
25,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.725
26,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7833333333333334
27,breast_tissue,GradientBoostingClassifier,SMOTE2,precision score,0.6754081821236791
28,breast_tissue,GradientBoostingClassifier,SMOTE2,recall score,0.7344020171206903
29,breast_tissue,GradientBoostingClassifier,SMOTE2,specificity score,0.7494899208208131
30,breast_tissue,LogisticRegression,KMeansSMOTE,average precision score,0.6954431679431681
31,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.7527777777777779
32,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.8253623188405796
33,breast_tissue,LogisticRegression,KMeansSMOTE,precision score,0.7177356443878183
34,breast_tissue,LogisticRegression,KMeansSMOTE,recall score,0.787854713892993
35,breast_tissue,LogisticRegression,KMeansSMOTE,specificity score,0.7849740069977005
36,breast_tissue,LogisticRegression,KMeansSMOTE2,average precision score,0.6816127693256177
37,breast_tissue,LogisticRegression,KMeansSMOTE2,f1 score,0.8083333333333333
38,breast_tissue,LogisticRegression,KMeansSMOTE2,geometric mean score,0.7971618357487923
39,breast_tissue,LogisticRegression,KMeansSMOTE2,precision score,0.7347401132023741
40,breast_tissue,LogisticRegression,KMeansSMOTE2,recall score,0.7913621800584829
41,breast_tissue,LogisticRegression,KMeansSMOTE2,specificity score,0.7998135943891962
42,breast_tissue,LogisticRegression,RandomOverSampler,average precision score,0.7017838615632734
