,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,average precision score,0.039836683702427975
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.05715296060004059
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.024497780019973162
3,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,precision score,0.042835367919707254
4,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,recall score,0.013719580996671196
5,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,specificity score,0.03536626379288616
6,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,average precision score,0.04770554713000936
7,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,f1 score,0.08098544298396249
8,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,geometric mean score,0.0246336846716015
9,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,precision score,0.06102725004209214
10,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,recall score,0.027715261080469487
11,breast_tissue,GradientBoostingClassifier,KMeansSMOTE2,specificity score,0.04963497833505697
12,breast_tissue,GradientBoostingClassifier,RandomOverSampler,average precision score,0.029603017641450513
13,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.08690888911301713
14,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.025785409129232786
15,breast_tissue,GradientBoostingClassifier,RandomOverSampler,precision score,0.052103189682943474
16,breast_tissue,GradientBoostingClassifier,RandomOverSampler,recall score,0.03353818812500929
17,breast_tissue,GradientBoostingClassifier,RandomOverSampler,specificity score,0.04494466568267011
18,breast_tissue,GradientBoostingClassifier,SMOTE,average precision score,0.03513973522234006
19,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.051052032415148905
20,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.030154900514748645
21,breast_tissue,GradientBoostingClassifier,SMOTE,precision score,0.03290875316956186
22,breast_tissue,GradientBoostingClassifier,SMOTE,recall score,0.030135333636558532
23,breast_tissue,GradientBoostingClassifier,SMOTE,specificity score,0.027964589871392415
24,breast_tissue,GradientBoostingClassifier,SMOTE2,average precision score,0.032849760051486994
25,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.06734480202210436
