,Dataset,Classifier,Oversampling method,Metric,Mean CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.740397405947426
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.8458132045088567
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.667984084480652
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.7461779318778341
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.8501962560386472
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.6748960282749099
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7471196434463657
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.841568538647343
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.6759156810255259
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.7550065593846795
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.8577898550724639
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.6838865683810448
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.7536734576385595
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8373691626409018
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.6822464989115374
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.7884763459909261
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.8939210950080516
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.7243133056310176
18,breast_tissue,LogisticRegression,None,f1 score,0.7700921070324168
19,breast_tissue,LogisticRegression,None,geometric mean score,0.8938959339774556
20,breast_tissue,LogisticRegression,None,roc auc score,0.7100680086535214
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.7980512247294055
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.898787238325282
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.7334208407107747
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.7972376949892737
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.8996628421900159
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.7322107735646755
