,Dataset,Classifier,Oversampling method,Metric,Std CV score
0,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.02774890749119208
1,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.02263157893678867
2,breast_tissue,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.03509987368762685
3,breast_tissue,GradientBoostingClassifier,None,f1 score,0.05458707329295082
4,breast_tissue,GradientBoostingClassifier,None,geometric mean score,0.022926517291373776
5,breast_tissue,GradientBoostingClassifier,None,roc auc score,0.06334948641173313
6,breast_tissue,GradientBoostingClassifier,RandomOverSampler,f1 score,0.040346842379757476
7,breast_tissue,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.026620386356947714
8,breast_tissue,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.048387121065629736
9,breast_tissue,GradientBoostingClassifier,SMOTE,f1 score,0.04469157720083704
10,breast_tissue,GradientBoostingClassifier,SMOTE,geometric mean score,0.021195313929650596
11,breast_tissue,GradientBoostingClassifier,SMOTE,roc auc score,0.05412667208190238
12,breast_tissue,GradientBoostingClassifier,SMOTE2,f1 score,0.042056444467343364
13,breast_tissue,GradientBoostingClassifier,SMOTE2,geometric mean score,0.038335239570618025
14,breast_tissue,GradientBoostingClassifier,SMOTE2,roc auc score,0.05271407042011773
15,breast_tissue,LogisticRegression,KMeansSMOTE,f1 score,0.028612125727872154
16,breast_tissue,LogisticRegression,KMeansSMOTE,geometric mean score,0.016243991145396177
17,breast_tissue,LogisticRegression,KMeansSMOTE,roc auc score,0.03390772208580026
18,breast_tissue,LogisticRegression,None,f1 score,0.014247572334367643
19,breast_tissue,LogisticRegression,None,geometric mean score,0.018340061431321
20,breast_tissue,LogisticRegression,None,roc auc score,0.0172661858748109
21,breast_tissue,LogisticRegression,RandomOverSampler,f1 score,0.028119509433572405
22,breast_tissue,LogisticRegression,RandomOverSampler,geometric mean score,0.017404758644702444
23,breast_tissue,LogisticRegression,RandomOverSampler,roc auc score,0.035015210760584226
24,breast_tissue,LogisticRegression,SMOTE,f1 score,0.021328342549846675
25,breast_tissue,LogisticRegression,SMOTE,geometric mean score,0.015574322491724501
26,breast_tissue,LogisticRegression,SMOTE,roc auc score,0.027459095140761693
27,breast_tissue,LogisticRegression,SMOTE2,f1 score,0.014102293404710942
28,breast_tissue,LogisticRegression,SMOTE2,geometric mean score,0.022042013181609175
29,breast_tissue,LogisticRegression,SMOTE2,roc auc score,0.01638025756314407
30,ecoli,GradientBoostingClassifier,KMeansSMOTE,f1 score,0.021841692077475803
31,ecoli,GradientBoostingClassifier,KMeansSMOTE,geometric mean score,0.004014497515650192
32,ecoli,GradientBoostingClassifier,KMeansSMOTE,roc auc score,0.031022875866815965
33,ecoli,GradientBoostingClassifier,None,f1 score,0.028779923209956468
34,ecoli,GradientBoostingClassifier,None,geometric mean score,0.007471169479764857
